App name,Version number,debloating feature,icons,pictures,transition gif,Total TextViews,Total Buttons,Transition Frames (Activity - Activity),Transition Frames (Touch to Action),App Genres,Local Image Size [KB],resolution,API call,Database call,,,
AntennaPod,v1-a,original,12,3,0,21,11,,,multimedia,200,,0,1,,,
AntennaPod,v1-b,Download List Adapter Image Removed,12,2,0,21,11,,,multimedia,0,,0,1,,,
AntennaPod,v2-a,original,12,3,0,21,11,,,multimedia,,,0,1,,l1 regularized logistic regression/ linear,
AntennaPod,v2-b,Download List Adapter Image Button Removed,11,3,0,21,11,,,multimedia,,,0,1,, sklearn.ensemble.RandomForestClassifier¥_,
AntennaPod,v3-a,original,11,8,1,32,13,,,multimedia,34.83; 9.33; 29.14; 54.38; 42.74; 44.46; 52.52; 47.96; 44.91; 42.52,170x170; 170x170; 170x170; 170x170; 170x169; 170x170; 170x170; 170x170; 170x170; 170x170,10,0,,,
AntennaPod,v3-b,Itunes Adapter Image Removal,11,2,1,32,13,,,multimedia,0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0x0; 0x0; 0x0; 0x0; 0x0; 0x0; 0x0; 0x0; 0x0; 0x0,0,0,,,
Drinks,v1-a,original,4,7,0,16,3,,,information,,817x1024; 1024x683; 1067x1601; 685x1024; 500x500; 1024x768; 1024x683,7,0,,Note; transition means:,
Drinks,v1-b,Drink Grid Image Reduction 100x100,4,7,0,16,3,,,information,,100x100; 100x100; 100x100; 100x100; 100x100; 100x100; 100x100,7,0,,delay + animation + render,
Drinks,v2-a,original,4,7,0,16,3,,,information,,817x1024; 1024x683; 1067x1601; 685x1024; 500x500; 1024x768; 1024x683,7,0,,,
Drinks,v2-b,Drink Grid Image Reduction 50x50,4,7,0,16,3,,,information,,50x50; 50x50; 50x50; 50x50; 50x50; 50x50; 50x50,7,0,,Genre is an ENum of,
