Jiani ,Brian,Neelay,Transformation Type
8,9,7,Image Removed
5,3,4,Image Removed
7,7,7,Image Removed
6,9,8,Image Reduced
3,7,6,Image Reduced
1,6,5,Image Reduced
10,4,7,Image Removed
9,8,8,Image Reduced
6,8,7,Image Reduced
4,8,5,Image Reduced
9,10,9,Animation/Transition Removed
8,8,8,Animation/Transition Removed
9,10,10,Animation/Transition Removed
8,4,8,Image Removed
8,7,7,Image Removed
5,7,7,Image Reduced
6,9,8,Image Reduced
6,7,8,Image Reduced
5,10,7,Misc.
8,4,7,Image Removed
5,3,6,Image Removed
6,2,5,Image Reduced
5,4,7,Image Reduced
7,8,8,Image Reduced
10,10,10,Image Reduced
9,9,8,Image Reduced
6,2,7,Image Removed
3,2,6,Image Removed
8,5,10,Image Removed
6,6,7,Image Removed
6,4,8,Image Removed
8,10,8,Image Removed
6,9,8,Image Reduced
4,6,7,Image Reduced
2,2,7,Image Reduced
9,9,10,Animation/Transition Removed
9,5,9,Image Reduced
7,8,8,Image Removed
3,6,7,Image Removed
10,9,10,Image Removed
10,8,10,Image Removed
10,8,9,Misc.
10,6,10,Image Removed
10,9,10,Animation/Transition Removed
10,9,10,Image Removed
9,9,10,Animation/Transition Removed
